Id,Name,TASKRAY__Project_Task__c,TASKRAY__Completed__c,TASKRAY__SortOrder__c,TASKRAY__trChecklistGroup__c,TASKRAY__trLongName__c,TASKRAY__trOwner__c
$Item182,Require written confirmation by employee of receipt of Rules of Conduct,$Task101,false,3,$Group41,Require written confirmation by employee of receipt of Rules of Conduct,$User: Alex Medrano
$Item183,Return to work date announcement,$Task96,false,4,$Group45,Return to work date announcement,$User: Alex Medrano
$Item184,"Determine responsibilities (e.g. manage communications, field questions, go-to i",$Task88,false,1,$Group44,"Determine responsibilities (e.g. manage communications, field questions, go-to if outbreak)",$User: Alex Medrano
$Item185,Add responsibilities to job description,$Task88,false,3,$Group44,Add responsibilities to job description,$User: Alex Medrano
$Item186,Engage change management consultant to help with communication strategy and exec,$Task96,false,1,$Group45,Engage change management consultant to help with communication strategy and execution,$User: Alex Medrano
$Item187,Engage vendors and customers in back-to-work plan,$Task96,false,2,$Group45,Engage vendors and customers in back-to-work plan,$User: Alex Medrano
$Item188,"As plans are forming, keep your employees and vendors informed as soon as approp",$Task96,false,3,$Group45,"As plans are forming, keep your employees and vendors informed as soon as appropriate",$User: Alex Medrano
$Item189,The “why” (so people understand the “what”),$Task96,false,5,$Group45,The “why” (so people understand the “what”),$User: Alex Medrano
$Item190,Detailed info about what to expect pre-return & day of return,$Task96,false,6,$Group45,Detailed info about what to expect pre-return & day of return,$User: Alex Medrano
$Item191,"COVID-19 “org chart” (who to contact if questions, who will be serving as COVID-",$Task96,false,10,$Group45,"COVID-19 “org chart” (who to contact if questions, who will be serving as COVID-19 Facility Advisor, who will be handling deliveries, etc.)",$User: Alex Medrano
$Item192,Post signs for key messages and post in high traffic areas such as main entrance,$Task96,false,11,$Group45,"Post signs for key messages and post in high traffic areas such as main entrances, restrooms, etc.",$User: Alex Medrano
$Item193,"Set up ongoing training plan (new hires, refresher training, training on modifie",$Task103,false,2,$Group38,"Set up ongoing training plan (new hires, refresher training, training on modified policies)",$User: Alex Medrano
$Item194,"Who will be responsible for strategy and protocols, communication, implementatio",$Task81,false,1,$Group47,"Who will be responsible for strategy and protocols, communication, implementation & training",$User: Alex Medrano
$Item195,"If large facility, consider assigning “floor monitors” to be responsible for hea",$Task81,false,3,$Group47,"If large facility, consider assigning “floor monitors” to be responsible for head counts, resupply of PPE & sanitation items, etc.",$User: Alex Medrano
$Item196,CDC Guidelines: https://www.cdc.gov/coronavirus/2019-ncov/downloads/php/CDC-Acti,$Task111,false,0,$Group46,CDC Guidelines: https://www.cdc.gov/coronavirus/2019-ncov/downloads/php/CDC-Activities-Initiatives-for-COVID-19-Response.pdf,$User: Alex Medrano
$Item197,Add responsibilities to job descriptions,$Task81,false,2,$Group47,Add responsibilities to job descriptions,$User: Alex Medrano
$Item198,Create a skills matrix to help identify employees to serve on Response Team,$Task81,false,0,$Group47,Create a skills matrix to help identify employees to serve on Response Team,$User: Alex Medrano
$Item199,Consider appointing a facility advisor(s) to serve as go-to for pandemic-related,$Task81,false,4,$Group47,Consider appointing a facility advisor(s) to serve as go-to for pandemic-related issues,$User: Alex Medrano
$Item200,Set up regular status meetings,$Task1,false,1,$Group39,Set up regular status meetings,$User: Alex Medrano
